SourceID RA(J2000) DEC(J2000) 25BestModel 25um_Flux_4pix 25um_Flux_4pix_err 25um_SNR_4pix 25um_Flux_8pix 25um_Flux_8pix_err 25um_SNR_8pix 25um_Flux_12pix 25um_Flux_12pix_err 25um_SNR_12pix 25ApRatio8_4 25ApRatio12_8 25um_Flux_M2D 25um_Flux_M2D_err 25um_SNR_M2D 25um_M2D_chi2 M2D25_qflag 25um_Flux_G2D 25um_Flux_G2D_err 25um_SNR_G2D 25um_G2D_chi2 G2D25_qflag fwhm25 fwhm25err elong25 ErrCalF25 vExtFlag25 bkg_qflag25 edge_flag25 37BestModel 37um_Flux_5.5pix 37um_Flux_5.5pix_err 37um_SNR_5.5pix 37um_Flux_10.5pix 37um_Flux_10.5pix_err 37um_SNR_10.5pix 37um_Flux_14pix 37um_Flux_14pix_err 37um_SNR_14pix 37ApRatio10.5_5.5 37ApRatio14_10.5 37um_Flux_M2D 37um_Flux_M2D_err 37um_SNR_M2D 37um_M2D_chi2 M2D37_qflag 37um_Flux_G2D 37um_Flux_G2D_err 37um_SNR_G2D 37um_G2D_chi2 G2D37_qflag fwhm37 fwhm37err elong37 vExtFlag37 bkg_qflag37 edge_flag37 ErrCalF37 FieldID SID25 SID37 Found25 Found37 Matched F25_F37_sep 25ApPhot_qflag 25Ap_4pix_UL 25Ap_8pix_UL 25Ap_12pix_UL 37ApPhot_qflag 37Ap_5.5pix_UL 37Ap_10.5pix_UL 37Ap_14pix_UL SSTGCxmatch SSTGCd2d tau_9.6 tau_distance
SFGC0.154+0.0305 17h45m52.11s -28d47m18.29s a 1.21 0.0754 16.1 2.91 0.151 19.3 4.13 0.226 18.3 2.4 1.42 "" "" "" "" 1.0 3.37 0.14 24.1 1.72 0 8.17 "" 1.19 0.0214 0 0 0 a 1.74 0.404 4.29 4.79 0.771 6.21 6.85 1.03 6.66 2.76 1.43 "" "" "" "" 1 4.02 0.776 5.18 1.28 0 11.6 "" 1.71 0 0 0 0.0283 Field20 SFGC0.154+0.0305 "" 0 1 0 "" 0 "" "" "" 0 "" "" "" 0558345 0.11 3.02 34.0
SFGC359.948-0.0293 17h45m36.60s -28d59m45.80s a 1.93 0.274 7.06 4.92 0.548 8.98 8.44 0.822 10.3 2.54 1.71 "" "" "" "" 1.0 6.09 0.691 8.81 4.12 0 11.1 "" 1.58 0.0214 0 1 0 a 10.1 1.17 8.64 28 2.23 12.5 42.4 2.98 14.2 2.77 1.52 "" "" "" "" 1 23.4 2.91 8.05 2.75 0 15 "" 1.3 1 0 0 0.0283 Field41 SFGC359.948-0.0293 "" 0 1 0 "" 0 "" "" "" 0 "" "" "" 0515803 0.131 4.16 95.0
SFGC0.299-0.0610 17h46m34.02s -28d42m46.19s g 0.318 0.0665 4.78 "" "" "" "" "" "" "" "" "" "" "" "" 1.0 0.358 0.0399 8.99 1.72 0 2.64 0.948 1.28 0.0214 0 0 0 a "" "" "" "" "" "" "" "" "" "" "" 0.137 0.0426 3.23 1.66 0 0.132 0.0404 3.27 1.66 0 1.52 "" 1.36 0 0 0 0.0283 Field11 SFGC0.299-0.0610 "" 0 1 0 "" 11 "" 0.415 0.622 111 0.476 0.909 1.21 0673798 0.132 3.13 23.0
SFGC0.395+0.0076 17h46m31.71s -28d35m41.19s g 0.939 0.0553 17 1.53 0.111 13.8 2.13 0.166 12.8 1.63 1.39 1.69 0.0315 53.7 0.948 0.0 1.15 0.0469 24.6 1.16 0 3.73 0.367 1.1 0.0237 0 0 1 g 0.703 0.106 6.63 0.892 0.202 4.41 "" "" "" 1.27 "" 0.865 0.0436 19.8 0.559 0 0.948 0.0827 11.5 0.546 0 4.72 3.26 1.98 0 0 0 0.027 Field09 SFGC0.395+0.0076 SFGC0.395+0.0072 1 1 1 1.38 0 "" "" "" 1 "" "" 0.8 0667560 0.132 2.35 139.0
SFGC359.954-0.0262 17h45m36.82s -28d59m19.77s a 2.4 0.211 11.4 5.95 0.421 14.1 8.99 0.632 14.2 2.48 1.51 "" "" "" "" 1.0 7.34 0.466 15.8 3.79 0 9.72 "" 1.6 0.0214 0 1 0 a 6.28 0.515 12.2 13.1 0.983 13.3 14.8 1.31 11.3 2.08 1.13 "" "" "" "" 1 12 0.865 13.9 2.98 0 10.2 "" 1.64 0 0 0 0.0283 Field38 SFGC359.954-0.0262 SFGC359.954-0.0259 1 1 1 1.44 0 "" "" "" 0 "" "" "" 0516452 0.135 3.18 113.0
SFGC0.036-0.1818 17h46m24.88s -29d00m01.34s g 1.35 0.109 12.4 1.15 0.218 5.29 "" "" "" 0.851 "" "" "" "" "" 1.0 1.4 0.065 21.6 1.43 0 2.63 0.306 1.02 0.0237 0 0 1 g 1.49 0.197 7.57 2.02 0.376 5.38 2.35 0.501 4.69 1.36 1.16 "" "" "" "" 1 1.61 0.137 11.8 0.616 0 4.22 0.842 1.24 0 0 1 0.027 Field35 SFGC0.036-0.1818 SFGC0.036-0.1818 1 1 1 0 1 "" "" 0.975 0 "" "" "" 0648643 0.137 1.92 124.0
SFGC0.055+0.0265 17h45m38.83s -28d52m31.95s a 9.17 0.183 50.2 13.8 0.365 37.7 16.2 0.548 29.6 1.5 1.18 14.1 0.172 82.1 9.24 0.0 13.2 0.192 68.5 5.24 0 4.63 "" 1.46 0.0214 0 1 1 a 15.7 0.996 15.7 17.6 1.9 9.26 19.4 2.54 7.64 1.12 1.1 17.5 0.716 24.5 4.87 0 17.3 0.742 23.2 4.58 0 4.5 "" 1.12 0 0 0 0.056 Field31 SFGC0.055+0.0265 SFGC0.055+0.0266 1 1 1 0.537 0 "" "" "" 0 "" "" "" 0521894 0.141 3.12 0.0
SFGC359.639-0.0576 17h44m58.96s -29d16m27.46s m 3.39 0.122 27.7 5.28 0.245 21.6 7.67 0.367 20.9 1.56 1.45 5.58 0.0704 79.2 3.82 0.0 4.02 0.098 41 6.68 0 2.53 0.594 1.21 0.0214 0 1 0 a 3.53 0.956 3.69 8.97 1.83 4.91 16.5 2.43 6.78 2.54 1.84 "" "" "" "" 1 8.05 1.86 4.33 3.04 0 11.8 "" 1.31 0 0 0 0.0283 Field45 SFGC359.639-0.0576 SFGC359.639-0.0577 1 1 1 0.47 0 "" "" "" 0 "" "" "" 0414950 0.144 3.13 71.0
SFGC359.410+0.0325 17h44m04.82s -29d25m21.08s a 2.74 0.0849 32.2 7.38 0.17 43.5 11.5 0.255 45.3 2.7 1.56 8.83 0.167 52.7 1.72 0.0 8.76 0.203 43.2 1.82 0 10.5 "" 1.21 0.0237 0 0 0 a 6.46 0.189 34.2 17.7 0.361 49 24.8 0.481 51.5 2.73 1.4 14.8 0.345 43 1.15 0 14.8 0.433 34.2 1.15 0 13.9 "" 1.26 0 0 1 0.027 Field49 SFGC359.410+0.0325 SFGC359.409+0.0323 1 1 1 2.04 0 "" "" "" 0 "" "" "" 0279869 0.153 2.41 70.0
SFGC0.545-0.0864 17h47m14.84s -28d30m56.90s a 3 0.151 19.9 8.8 0.301 29.2 14.6 0.452 32.3 2.93 1.66 "" "" "" "" 1.0 10.7 0.413 25.9 2.92 0 12.1 "" 1.29 0.0214 1 1 0 a 4.82 0.672 7.17 14.4 1.28 11.2 19.7 1.71 11.5 2.99 1.37 "" "" "" "" 1 "" "" "" "" 1 "" "" "" 0 0 0 0.0283 Field05 SFGC0.545-0.0864 "" 0 1 0 "" 0 "" "" "" 0 "" "" "" 0777321 0.165 5.81 15.0
