SourceID ra dec _25um_Flux_8pix _25um_Flux_8pix_err _25um_Flux_G2D _25um_Flux_G2D_err fwhm25 _37um_Flux_10_5pix _37um_Flux_10_5pix_err _37um_Flux_G2D _37um_Flux_G2D_err fwhm37 _25ApPhot_qflag _37ApPhot_qflag G2D25_qflag G2D37_qflag bkg_qflag25 bkg_qflag37 vExtFlag25 vExtFlag37
SFGC0.154+0.0305 266.467125 -28.788414 2.91 0.1507 3.369 0.1399 8.166 4.79 0.7714 4.02 0.7758 11.61 000 000 0 0.0 0 0 0 0
SFGC359.948-0.0293 266.4025 -28.996056 4.92 0.548 6.087 0.6909 11.09 27.95 2.234 23.4 2.909 15.03 000 000 0 0.0 1 0 0 1
SFGC0.299-0.0610 266.64175 -28.712831 "" "" 0.3584 0.03986 2.637 "" "" 0.1319 0.04041 1.522 011 111 0 0.0 0 0 0 0
SFGC0.395+0.0076 266.632125 -28.594775 1.528 0.1105 1.154 0.04685 3.729 0.892 0.2024 0.9476 0.08267 4.716 000 001 0 0.0 0 0 0 0
SFGC359.954-0.0262 266.403417 -28.988825 5.95 0.4213 7.338 0.4658 9.723 13.07 0.9828 12.04 0.8646 10.16 000 000 0 0.0 1 0 0 0
SFGC0.036-0.1818 266.603667 -29.000372 1.15 0.2176 1.403 0.06501 2.628 2.02 0.3756 1.615 0.1373 4.219 001 000 0 0.0 0 0 0 0
SFGC0.055+0.0265 266.411792 -28.875542 13.78 0.3653 13.17 0.1922 4.629 17.61 1.902 17.25 0.7422 4.505 000 000 0 0.0 1 0 0 0
SFGC359.639-0.0576 266.245667 -29.274294 5.276 0.2445 4.022 0.09802 2.534 8.97 1.825 8.046 1.86 11.76 000 000 0 0.0 1 0 0 0
SFGC359.410+0.0325 266.020083 -29.422522 7.384 0.1699 8.763 0.2029 10.51 17.67 0.3607 14.78 0.4328 13.85 000 000 0 0.0 0 0 0 0
SFGC0.545-0.0864 266.811833 -28.515806 8.797 0.3012 10.73 0.4134 12.07 14.41 1.283 "" "" "" 000 000 0 1.0 1 0 1 0
SFGC0.091+0.0145 266.44475 -28.851297 13.68 1.742 19.03 2.907 14.67 47.61 4.406 "" "" "" 000 000 0 1.0 1 1 1 0
